Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C29,C_0603_1608Metric,C1525,1
0.47uF,"C27,C28",C_0603_1608Metric,C1623,2
01x05 Connector_PinSocket_2.54mm,"U11,U9",DuppaI2CEncoderV2.1,C50950,2
1.11k,R23,R_0402_1005Metric,C25860,1
1.13k,R24,R_0402_1005Metric,C67014,1
1.5M,R19,R_0402_1005Metric,C11812,1
1.5k,"R25,R26",R_0402_1005Metric,C25867,2
1000uF,C6,CP_Elec_8x10.5,C5686929,1
100n,"C10,C11,C14,C15,C21",C_0402_1005Metric,C77020,5
100nF,C26,C_0201_0603Metric,C1525,1
10k,R14,R_0402_1005Metric,C25744,1
10k,"R12,R13,R16",R_0402_1005Metric,C98220,3
10u,"C16,C17,C18,C19,C20,C22,C24,C3,C4",C_0603_1608Metric,C19702,9
150n,C13,C_0402_1005Metric,C162182,1
1M,R15,R_0402_1005Metric,C26083,1
1u,"C1,C12,C2,C23,C25,C7,C8,C9",C_0402_1005Metric,C52923,8
1uF,C32,C_0603_1608Metric,C15849,1
1uF,"C30,C31",C_0603_1608Metric,C1848,2
220R,"R20,R6,R7,R8",R_0603_1608Metric,C22962,4
22R,"R1,R2,R3,R4,R5",R_0402_1005Metric,C25092,5
22µF,C36,C_0603_1608Metric,C1859,1
2k2,R11,R_0603_1608Metric,C4190,1
4.7uF,"C33,C35",C_0603_1608Metric,C1705,2
5.1k,"R10,R9",R_0402_1005Metric,C25905,2
74LVC2G14,U5,SOT-23-6,C12401,1
AudioJack3_Switch,"J1,J5,J6,J7",Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,C368502,4
BAT54J,D1,D_SOD-323F,C130415,1
BATTERY,J16,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,1
Conn_01x02,J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,1
Conn_01x03,J9,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C131339,1
Conn_01x05,"J11,J11.5,J12,J13,J14,J15",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,C157993,6
Micro_SD_Card,J8,microSD_HC_Hirose_DM3BT-DSF-PEJS,C597972,1
Microphone_Condenser,MK1,POM-2244P-C3310-2-R,C3273559,1
Red,D4,LED_0402_1005Metric,C71911,1
SGTL5000XNBA3,U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,C5196742,1
SPX3819M5-L-1-8,U2,SOT-23-5,C24639,1
SPX3819M5-L-3-3,"U1,U7",SOT-23-5,C9055,2
TLP2361V4_E,U4,5pin SO6_TOS,C107626,1
USB_C_Receptacle_USB2.0,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
Yellow,D5,LED_0402_1005Metric,C74342,1
BQ24075TRGTR,IC1,QFN50P300X300X100-17N-D,,1
AudioJack3_Ground,J3,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,,1
100nF,C5,C_0402_1005Metric,,1
20k,R22,R_0805_2012Metric,,1
PAM8403D,U13,SOIC-16_3.9x9.9mm_P1.27mm,,1
EG2219,S1,EG2219,,1
AudioJack3_Ground,J17,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,,1
20k,R21,R_0805_2012Metric,,1
